Name,YoYoYo,Yuuutu,Nikaple,Renex,Verve,Lemon,Better
sprPlayerStart,sprPlayerStart,sprplayerstart,sprplayerstart,sprPlayerStart,sprPlayerStart,sprPlayerStart,
sprPlayerKiller,sprPlayerKiller,,,,sprKiller,,
sprPlayMusic,sprPlayMusic,sprmusic,,sprMusic,sprMusic,sprPlayMusic,
sprCamera,sprCamera,sprcamera,sprcamera,sprCamera,sprCamera,sprCamera,
sprPlayerMask,sprPlayerMask,maskPlayer,maskPlayer,sprMaskNeedle,sprPlayerMask,maskPlayer,maskPlayer
sprPlayerMaskFlip,sprPlayerMaskFlip,maskPlayer2,,sprMaskNeedleFlip,sprPlayerMaskFlip,maskPlayer2,
sprPlayerIdle,sprPlayerIdle,sprPlayerIdle,sprPlayerIdle,sprPlayerIdle,sprPlayerIdle,sprPlayerIdle,sprPlayerIdle
sprPlayerJump,sprPlayerJump,sprPlayerJump,sprPlayerJump,sprPlayerJump,sprPlayerJump,sprPlayerJump,sprPlayerJump
sprPlayerFall,sprPlayerFall,sprPlayerFall,sprPlayerFall,sprPlayerFall,sprPlayerFall,sprPlayerFall,sprPlayerFall
sprPlayerRunning,sprPlayerRunning,sprPlayerRunning,sprPlayerRunning,sprPlayerRunning,sprPlayerRun,sprPlayerRunning,sprPlayerRunning
sprPlayerSliding,sprPlayerSliding,sprPlayerSliding,sprPlayerSliding,sprPlayerSliding,sprPlayerSlide,sprPlayerSliding,sprPlayerSliding
sprBow,sprBow,sprBow,sprBow,sprBow,sprPlayerBow,sprBow,sprBow
sprBullet,sprBullet,sprBullet,sprBullet,sprBullet,sprBullet,sprBullet,sprBullet
sprBlood,sprBlood,sprBlood,sprBlood,sprBlood,sprBlood,sprBlood,sprBlood
sprGameOver,sprGameOver,sprGAMEOVER,sprGAMEOVER,sprGameOver,sprGameOver,sprGAMEOVER,sprGAMEOVER
sprBlockMask,sprBlockMask,maskBlock,maskBlock,sprBlock,sprBlockMask,maskBlock,maskBlock
sprKillerBlock,sprKillerBlock,sprredblock,sprredblock,sprKillBlock,sprKillerBlock,sprInvisiblekiller,
sprMovingPlatform,sprMovingPlatform,sprDynamicPlatform01,sprDynamicPlatform01,sprDynamicPlatform,sprPlatform,sprPlatform,sprDynamicPlatform
